StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q8,MFQV_1_Ce,MFQV_2_Ce,MFQV_3_Ce,MFQV_4_Ce,MFQV_5_Ce,MFQV_6_Ce,MFQV_7_Ce,MFQV_8_Ce,MFQV_9_Ce,MFQV_10_Ce,MFQV_11_Ce,MFQV_12_Ce,MFQV_13_Ce,MFQV_14_Ce,MFQV_15_Ce,MFQV_16_Ce,MFQV_17_Cpa,MFQV_18_Cpa,MFQV_19_Cpa,MFQV_20_Cpa,MFQV_21_Cpa,MFQV_22_Cpa,MFQV_23_Cpa,MFQV_24_Cpa,MFQV_25_Cpa,MFQV_26_Cph,MFQV_27_Cph,MFQV_28_Cph,MFQV_29_Cph,MFQV_30_Cph,MFQV_31_Cph,MFQV_32_Cph,MFQV_33_F,MFQV_34_F,MFQV_35_F,MFQV_36_F,MFQV_37_F,MFQV_38_F,MFQV_39_F,MFQV_40_F,MFQV_41_F,MFQV_42_F,MFQV_43_F,MFQV_44_F,MFQV_45_F,MFQV_46_F,MFQV_47_F,MFQV_48_F,MFQV_49_F,MFQV_50_L,MFQV_51_L,MFQV_52_L,MFQV_53_L,MFQV_54_L,MFQV_55_L,MFQV_56_L,MFQV_57_L,MFQV_58_L,MFQV_59_L,MFQV_60_L,MFQV_61_L,MFQV_62_L,MFQV_63_L,MFQV_64_L,MFQV_65_L,MFQV_66_L,MFQV_67_A,MFQV_68_A,MFQV_69_A,MFQV_70_A,MFQV_71_A,MFQV_72_A,MFQV_73_A,MFQV_74_A,MFQV_75_A,MFQV_76_A,MFQV_77_A,MFQV_78_A,MFQV_79_A,MFQV_80_A,MFQV_81_A,MFQV_82_A,MFQV_83_A,MFQV_84_I,MFQV_85_I,MFQV_86_I,MFQV_87_I,MFQV_88_I,MFQV_89_I,MFQV_90_I,MFQV_91_I,MFQV_92_I,MFQV_93_I,MFQV_94_I,MFQV_95_I,MFQV_96_I,MFQV_97_I,MFQV_98_I,MFQV_99_I,MFQV_100_S,MFQV_101_S,MFQV_102_S,MFQV_103_S,MFQV_104_S,MFQV_105_S,MFQV_106_S,MFQV_107_S,MFQV_108_S,MFQV_109_S,MFQV_110_S,MFQV_111_S,MFQV_112_S,MFQV_113_S,MFQV_114_S,MFQV_115_S,MFQV_116_S,MFQR_1_C,MFQR_2_F,MFQR_3_I,MFQR_4_A,MFQR_5_P,MFQR_6_d,MFQR_7_C,MFQR_8_F,MFQR_9_I,MFQR_10_A,MFQR_11_P,MFQR_12_C,MFQR_13_F,MFQR_14_I,MFQR_15_A,MFQR_16_P,MFQJ_17_C,MFQJ_18_F,MFQJ_19_I,MFQJ_20_A,MFQJ_21_P,MFQJ_22_d,MFQJ_23_C,MFQJ_24_F,MFQJ_25_I,MFQJ_26_A,MFQJ_27_P,MFQJ_28_C,MFQJ_29_F,MFQJ_30_I,MFQJ_31_A,MFQJ_32_P,dum1,dum2,dum3,Politics_1,Politics_2,Politics_3,Politics_4,PolOrient,gender,gender_3_TEXT,Prefecture,age_1,Edu,Occup.,SES,Religion,Funeral,Funeral_8_TEXT,Q32,Q33,Q33_2_TEXT,SBS_1,SBS_2,SBS_3,SBS_4,SBS_5,SBS_6
2022/6/10 12:48,2022/6/10 13:09,100,1303,1,2022/6/10 13:09,R_2TGHchpOA2tqZmU,anonymous,JA,2,4,3,2,1,3,3,4,3,2,3,2,3,1,4,2,3,5,3,3,5,5,3,5,2,5,5,5,5,2,1,3,3,5,5,2,3,4,5,4,4,4,4,2,4,5,4,3,5,5,4,2,3,3,4,4,3,5,3,4,4,2,2,1,4,1,4,2,3,4,5,5,2,5,4,2,3,3,2,3,5,3,3,3,5,2,4,3,5,2,3,3,2,5,5,2,5,2,4,3,5,5,5,5,3,5,5,5,5,2,3,5,5,3,1,4,4,11,9,8,8,10,1,11,9,7,7,8,10,9,8,11,1,4,5,5,4,6,6,6,5,1,5,5,5,4,3,3,4,0,0,0,2,2,5,5,5,2,,14,45,4,1,3,なし,1,,1,1,,1,1,1,5,1,1
2022/6/10 12:51,2022/6/10 13:10,100,1151,1,2022/6/10 13:10,R_OKeI72tfhyqxiFP,anonymous,JA,2,4,3,3,3,4,3,3,3,2,3,3,3,2,1,3,3,5,4,3,4,3,3,4,2,4,3,3,4,3,3,3,3,4,4,3,3,4,5,3,5,2,3,2,3,3,4,4,4,5,3,2,3,4,3,3,3,5,3,3,3,3,1,2,3,2,2,3,3,3,4,3,3,3,3,3,3,2,2,4,3,3,3,3,2,2,2,3,3,2,3,3,2,2,3,2,3,2,2,2,4,4,3,4,3,3,4,2,5,4,2,3,4,1,2,3,3,9,9,8,8,8,1,9,9,9,8,9,10,9,8,10,10,5,4,4,4,5,5,6,5,2,5,4,3,2,4,4,4,0,0,0,5,5,4,4,5,1,,27,40,4,1,3,なし,1,,1,1,,4,4,6,5,5,6
2022/6/10 12:49,2022/6/10 13:10,100,1265,1,2022/6/10 13:10,R_6GoXEdtrJtEIikx,anonymous,JA,2,4,3,3,3,3,4,4,3,3,4,4,3,3,2,3,2,5,3,2,4,3,4,4,1,3,3,3,2,2,2,5,4,5,5,5,3,5,4,4,3,3,4,4,4,4,2,5,5,5,2,3,4,5,3,4,5,4,4,3,3,3,4,2,3,2,3,4,3,3,5,3,3,4,3,3,3,2,3,3,3,1,3,3,3,4,3,3,3,1,3,3,3,3,2,1,5,2,3,3,4,5,4,5,3,3,3,3,5,4,2,5,4,2,1,3,2,8,9,9,8,8,7,7,8,9,9,10,11,10,9,9,7,4,4,4,4,4,5,5,4,4,3,5,4,2,2,3,3,0,0,0,6,5,5,5,9,2,,11,37,4,1,,なし,1,,1,1,,5,5,4,6,5,6
2022/6/10 12:49,2022/6/10 13:11,100,1324,1,2022/6/10 13:11,R_31MncMsllZVm5Ap,anonymous,JA,2,4,3,3,2,4,5,5,4,3,3,3,3,2,2,3,4,4,4,3,3,4,2,4,2,4,2,3,5,3,4,3,3,4,4,3,3,4,3,3,1,3,4,2,4,4,4,3,4,5,4,3,4,3,5,5,4,4,4,3,4,4,3,3,3,4,4,3,3,3,4,4,3,5,2,3,4,2,3,4,4,2,3,3,3,3,3,4,4,2,4,3,3,4,3,1,4,2,3,3,3,4,2,4,2,4,2,2,5,4,3,4,4,4,1,2,3,9,10,9,7,10,7,9,9,9,8,10,11,9,9,10,8,4,5,4,4,5,6,5,4,5,4,4,4,2,3,4,4,0,0,0,5,5,6,6,6,1,,27,34,4,6,5,キリスト教,1,,1,1,,6,6,6,7,7,8
2022/6/10 12:45,2022/6/10 13:14,100,1705,1,2022/6/10 13:14,R_0AMRb87ytLc0adj,anonymous,JA,2,5,3,4,2,3,5,5,5,3,3,4,3,2,4,2,5,5,2,4,5,3,2,5,2,3,4,5,4,2,2,4,4,5,5,2,3,3,5,4,5,3,3,2,4,5,5,5,5,5,5,2,5,4,5,5,4,5,5,4,3,3,1,2,3,3,2,5,2,4,4,5,3,5,3,2,2,2,2,4,4,2,3,4,2,2,3,4,5,2,4,4,2,5,4,1,5,2,3,5,4,2,4,5,2,4,3,5,5,4,2,5,5,2,1,4,4,10,10,9,7,9,1,10,10,10,8,9,11,10,9,10,7,5,5,5,3,6,5,6,6,6,6,5,5,5,3,3,5,0,0,0,4,5,3,2,6,2,,23,46,4,3,3,仏教,1,,1,1,,5,5,6,4,6,6
2022/6/10 12:56,2022/6/10 13:14,100,1027,1,2022/6/10 13:14,R_xtS9qlrWndyh3fr,anonymous,JA,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,5,4,4,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,5,3,3,3,3,3,3,5,3,5,3,5,2,3,3,3,10,9,9,9,9,8,9,10,9,9,9,10,9,9,9,9,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,0,0,0,3,3,4,3,5,1,,4,25,4,1,4,なし,1,,1,1,,6,6,7,7,7,6
2022/6/10 12:49,2022/6/10 13:14,100,1488,1,2022/6/10 13:14,R_12MFYdDbl5HL67S,anonymous,JA,2,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,4,3,4,4,5,5,4,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,4,3,5,4,4,5,5,5,5,5,4,2,2,3,4,4,5,4,2,4,2,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,11,11,10,10,11,9,11,11,11,10,11,11,11,10,11,10,6,5,5,5,6,6,6,6,5,6,6,6,2,6,6,6,0,0,0,5,6,5,5,6,2,,21,30,4,2,3,なし,1,,1,1,,2,2,1,2,1,2
2022/6/10 12:51,2022/6/10 13:14,100,1359,1,2022/6/10 13:14,R_cAfiz4OStHnpY09,anonymous,JA,2,5,4,4,5,5,5,5,5,3,3,5,5,4,1,5,5,5,5,4,4,4,2,4,3,5,5,5,5,3,5,5,2,5,5,5,5,4,5,4,1,3,5,5,3,4,5,5,5,5,4,3,5,5,4,5,5,5,5,5,4,3,2,3,4,5,4,3,3,3,5,3,3,5,3,5,4,3,2,4,5,5,3,4,2,1,2,3,5,1,3,3,3,4,2,3,4,2,1,2,2,4,2,4,3,4,4,1,5,2,1,2,4,1,1,2,1,11,11,7,8,7,1,11,10,10,10,9,10,11,7,11,8,5,6,4,4,5,6,6,5,4,3,2,5,5,3,5,1,0,0,0,5,7,6,5,6,1,,13,34,4,2,3,なし,1,,1,1,,6,3,7,3,2,4
2022/6/10 12:48,2022/6/10 13:14,100,1573,1,2022/6/10 13:14,R_2fj12Zi0ZYxN4QT,anonymous,JA,2,5,5,4,4,5,5,5,5,4,4,4,4,3,4,4,5,5,5,4,5,5,5,5,2,5,5,5,5,4,2,5,5,5,5,3,3,4,5,3,5,5,5,2,5,5,5,2,5,5,3,3,5,5,3,5,5,5,5,4,3,5,2,2,5,3,2,4,4,5,5,5,4,5,5,5,4,5,5,4,5,4,4,4,3,3,3,3,4,3,5,3,3,4,3,2,3,3,5,4,4,5,3,5,4,5,5,2,5,3,2,4,5,2,4,4,3,11,10,8,7,10,1,11,11,9,8,10,11,11,7,10,9,5,6,4,4,5,6,6,6,5,5,5,5,3,5,5,5,0,0,0,2,4,4,4,8,2,,28,47,6,3,4,なし,1,,1,1,,3,3,3,3,3,5
2022/6/10 13:00,2022/6/10 13:14,100,857,1,2022/6/10 13:14,R_2SuhrNhADJnrQA8,anonymous,JA,2,3,3,3,2,3,3,4,3,2,4,3,3,2,2,3,4,4,3,2,3,3,3,4,2,5,4,3,4,3,3,3,4,3,4,3,2,3,3,3,3,2,3,3,2,3,3,3,4,3,3,2,4,3,3,4,3,3,3,3,2,3,2,2,4,3,2,3,3,3,4,3,3,4,2,3,3,2,2,3,3,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,4,2,4,3,3,2,2,3,3,10,10,9,9,9,1,10,9,9,9,10,10,10,9,10,9,5,5,4,4,5,6,5,5,5,4,4,4,3,3,4,4,0,0,0,6,6,3,5,7,2,,15,36,2,3,3,なし,1,,1,1,,3,3,4,5,5,8
2022/6/10 13:02,2022/6/10 13:14,100,732,1,2022/6/10 13:14,R_25S0e71BsUEANu5,anonymous,JA,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,4,4,4,5,3,5,4,4,4,4,3,4,2,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,5,3,3,4,3,3,3,3,4,3,4,3,3,2,3,4,2,3,4,2,4,4,3,3,4,4,3,4,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,4,4,4,4,5,4,5,4,5,4,5,4,4,5,3,10,9,9,10,9,1,9,10,10,9,10,10,9,9,9,9,4,4,5,5,4,6,6,5,6,5,5,6,5,5,5,4,0,0,0,4,5,5,5,5,1,,27,32,3,6,3,なし,6,,1,1,,5,5,5,6,6,6
2022/6/10 12:51,2022/6/10 13:14,100,1391,1,2022/6/10 13:14,R_12rUwwg9nTmalSt,anonymous,JA,2,4,4,5,4,5,5,5,5,4,4,5,4,4,4,5,5,5,3,5,5,5,5,5,3,5,4,5,5,4,4,5,4,5,5,3,5,3,5,5,4,4,3,2,4,4,4,4,5,4,4,2,5,3,4,5,4,4,4,4,4,3,2,3,4,4,2,3,4,4,5,3,3,5,4,4,4,3,3,5,5,4,3,3,4,5,4,5,5,2,4,4,2,3,5,3,4,3,4,4,3,4,4,5,3,5,4,3,5,3,3,4,5,1,4,4,3,10,11,7,1,10,1,11,11,7,7,11,11,11,7,11,7,3,5,4,2,6,6,6,5,4,5,4,5,3,6,4,3,0,0,0,7,7,4,2,5,1,,14,50,4,6,4,なし,1,,1,1,,5,5,6,5,5,5
2022/6/10 12:52,2022/6/10 13:14,100,1361,1,2022/6/10 13:14,R_DwURWBFqQhIUnWV,anonymous,JA,2,3,3,4,3,4,3,3,4,1,3,5,4,2,2,3,4,5,3,3,5,4,3,5,1,5,5,4,5,4,4,5,2,3,4,5,4,4,5,4,5,4,3,3,3,4,4,4,5,5,2,3,5,4,3,4,4,5,3,4,2,3,3,1,4,2,2,3,4,3,5,3,3,5,3,3,3,4,2,5,4,4,3,3,2,3,3,3,2,2,4,3,3,3,4,1,3,2,4,4,5,5,5,5,4,4,4,4,5,2,2,5,5,2,3,3,2,10,11,9,8,9,7,10,9,10,10,11,10,11,7,11,7,4,3,4,2,5,6,6,2,3,6,1,5,1,3,1,3,0,0,0,5,4,2,3,2,2,,3,33,2,3,3,なし,1,,1,1,,4,3,5,2,2,5
2022/6/10 12:52,2022/6/10 13:14,100,1332,1,2022/6/10 13:14,R_2zNOXw1XLhR13qZ,anonymous,JA,2,5,5,3,3,4,5,5,3,3,4,4,3,4,3,3,5,5,5,4,5,5,5,5,3,5,4,5,5,3,4,5,5,5,4,3,4,4,5,4,4,5,3,3,4,3,5,3,5,5,5,5,5,3,4,5,5,5,3,5,5,5,3,3,5,3,4,3,3,3,5,3,3,4,4,3,3,2,2,3,3,3,3,3,2,1,2,5,3,1,3,3,2,3,3,2,3,2,2,3,3,4,5,5,4,4,5,4,5,3,3,3,5,1,2,3,3,10,10,1,1,10,1,10,10,7,7,9,10,11,1,9,1,6,6,5,2,5,5,6,4,3,5,4,3,5,3,3,3,4,4,5,4,7,3,3,5,2,,15,46,4,3,3,仏教、神道,1,,1,1,,1,6,7,9,9,7
2022/6/10 12:56,2022/6/10 13:15,100,1124,1,2022/6/10 13:15,R_2D6WBJYznHA6wox,anonymous,JA,2,5,5,4,4,5,5,5,5,4,4,4,4,2,2,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,3,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,4,2,1,5,3,2,3,3,5,5,5,3,5,4,4,3,4,3,5,5,3,5,3,2,2,3,2,3,2,3,3,1,4,2,2,5,1,2,4,1,3,5,5,3,4,4,4,5,2,4,3,4,1,1,4,1,10,10,7,8,9,1,10,10,7,7,9,11,10,7,10,1,6,6,4,4,4,6,6,4,4,4,4,6,5,4,1,4,0,0,0,7,7,3,3,5,2,,7,45,4,3,2,仏教,1,,1,1,,1,2,5,5,5,8
